Icarus Keywords / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
"Mars, polar caps",narrowMatch,Polar caps,http://astrothesaurus.org/uat/1273,
"Mars, polar geology",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, polar geology",relatedMatch,Polar caps,http://astrothesaurus.org/uat/1273,
"Mars, satellites",exactMatch,Martian satellites,http://astrothesaurus.org/uat/1009,
"Mars, surface",narrowMatch,Mars,http://astrothesaurus.org/uat/1007,
"Mars, surface",narrowMatch,Planetary surfaces,http://astrothesaurus.org/uat/2113,
Mercury,exactMatch,Mercury (planet),http://astrothesaurus.org/uat/1024,
"Mercury, atmosphere",narrowMatch,Mercury (planet),http://astrothesaurus.org/uat/1024,
"Mercury, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Mercury, interior",narrowMatch,Mercury (planet),http://astrothesaurus.org/uat/1024,
"Mercury, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Mercury, surface",narrowMatch,Mercury (planet),http://astrothesaurus.org/uat/1024,
"Mercury, surface",narrowMatch,Planetary surfaces,http://astrothesaurus.org/uat/2113,
Meteorites,exactMatch,Meteorites,http://astrothesaurus.org/uat/1038,
Meteorology,(no match),,,
Meteors,exactMatch,Meteors,http://astrothesaurus.org/uat/1041,
Mineralogy,narrowMatch,Lunar mineralogy,http://astrothesaurus.org/uat/962,
Moon,exactMatch,The Moon,http://astrothesaurus.org/uat/1692,
"Moon, interior",exactMatch,Lunar interior,http://astrothesaurus.org/uat/959,
"Moon, surface",exactMatch,Lunar surface,http://astrothesaurus.org/uat/974,
Near-Earth objects,exactMatch,Near-Earth objects,http://astrothesaurus.org/uat/1092,
Neptune,exactMatch,Neptune,http://astrothesaurus.org/uat/1096,
"Neptune, atmosphere",narrowMatch,Neptune,http://astrothesaurus.org/uat/1096,
"Neptune, atmosphere",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Neptune, interior",narrowMatch,Neptune,http://astrothesaurus.org/uat/1096,
"Neptune, interior",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
"Neptune, magnetosphere",narrowMatch,Planetary magnetospheres,http://astrothesaurus.org/uat/997,
"Neptune, magnetosphere",narrowMatch,Neptune,http://astrothesaurus.org/uat/1096,
"Neptune, rings",narrowMatch,Neptune,http://astrothesaurus.org/uat/1096,
"Neptune, rings",narrowMatch,Planetary rings,http://astrothesaurus.org/uat/1254,
