ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
Galaxies,galaxies: individual,narrowMatch,Sagittarius dwarf spheroidal galaxy,http://astrothesaurus.org/uat/1423
Galaxies,galaxies: individual,narrowMatch,Sculptor dwarf elliptical galaxy,http://astrothesaurus.org/uat/1436
Galaxies,galaxies: individual,narrowMatch,Triangulum Galaxy,http://astrothesaurus.org/uat/1712
Galaxies,galaxies: individual,narrowMatch,Ursa Minor dwarf spheroidal galaxy,http://astrothesaurus.org/uat/1753
Galaxies,galaxies: individual,narrowMatch,Andromeda Galaxy,http://astrothesaurus.org/uat/39
Galaxies,galaxies: individual,narrowMatch,Draco dwarf galaxy,http://astrothesaurus.org/uat/408
Galaxies,galaxies: individual,narrowMatch,Fornax dwarf spheroidal galaxy,http://astrothesaurus.org/uat/548
Galaxies,galaxies: interactions,exactMatch,Galaxy interactions,http://astrothesaurus.org/uat/600
Galaxies,galaxies: irregular,exactMatch,Irregular galaxies,http://astrothesaurus.org/uat/864
Galaxies,galaxies: ISM,exactMatch,Interstellar medium,http://astrothesaurus.org/uat/847
Galaxies,galaxies: jets,exactMatch,Galaxy jets,http://astrothesaurus.org/uat/601
Galaxies,galaxies: kinematics and dynamics,relatedMatch,Galaxy dynamics,http://astrothesaurus.org/uat/591
Galaxies,galaxies: kinematics and dynamics,relatedMatch,Galaxy kinematics,http://astrothesaurus.org/uat/602
Galaxies,"galaxies: luminosity function, mass function",relatedMatch,Stellar mass functions,http://astrothesaurus.org/uat/1612
Galaxies,"galaxies: luminosity function, mass function",relatedMatch,Initial mass function,http://astrothesaurus.org/uat/796
Galaxies,"galaxies: luminosity function, mass function",relatedMatch,Luminosity function,http://astrothesaurus.org/uat/942
Galaxies,galaxies: magnetic fields,exactMatch,Galaxy magnetic fields,http://astrothesaurus.org/uat/604
Galaxies,galaxies: nuclei,exactMatch,Galaxy nuclei,http://astrothesaurus.org/uat/609
Galaxies,galaxies: peculiar,(no match),,
Galaxies,galaxies: photometry,exactMatch,Galaxy photometry,http://astrothesaurus.org/uat/611
Galaxies,galaxies: Seyfert,exactMatch,Seyfert galaxies,http://astrothesaurus.org/uat/1447
Galaxies,galaxies: spiral,narrowMatch,Barred spiral galaxies,http://astrothesaurus.org/uat/136
Galaxies,galaxies: spiral,exactMatch,Spiral galaxies,http://astrothesaurus.org/uat/1560
Galaxies,galaxies: spiral,narrowMatch,Unbarred spiral galaxies,http://astrothesaurus.org/uat/1745
Galaxies,galaxies: star clusters: general,exactMatch,Star clusters,http://astrothesaurus.org/uat/1567
Galaxies,galaxies: star clusters: general,relatedMatch,Stellar associations,http://astrothesaurus.org/uat/1582
Galaxies,galaxies: star clusters: individual,(no match),,
Galaxies,galaxies: star formation,relatedMatch,Star formation,http://astrothesaurus.org/uat/1569
Galaxies,galaxies: starburst,exactMatch,Starburst galaxies,http://astrothesaurus.org/uat/1570
Galaxies,galaxies: statistics,exactMatch,Galaxy counts,http://astrothesaurus.org/uat/588
Galaxies,galaxies: stellar content,exactMatch,Galaxy stellar content,http://astrothesaurus.org/uat/621
Galaxies,galaxies: structure,exactMatch,Galaxy structure,http://astrothesaurus.org/uat/622
General,"editorials, notices",(no match),,
General,"errata, addenda",(no match),,
General,extraterrestrial intelligence,relatedMatch,Astrobiology,http://astrothesaurus.org/uat/74
General,history and philosophy of astronomy,relatedMatch,Philosophy of astronomy,http://astrothesaurus.org/uat/1222
General,history and philosophy of astronomy,relatedMatch,History of astronomy,http://astrothesaurus.org/uat/1868
General,miscellaneous,(no match),,
General,"obituaries, biographies",(no match),,
General,"publications, bibliography",(no match),,
General,sociology of astronomy,exactMatch,Sociology of astronomy,http://astrothesaurus.org/uat/1470
General,standards,(no match),,
"Inst, Meth, Tech",atmospheric effects,exactMatch,Atmospheric effects,http://astrothesaurus.org/uat/113
"Inst, Meth, Tech",balloons,relatedMatch,High altitude balloons,http://astrothesaurus.org/uat/738
"Instr, Meth, Tech",instrumentation: adaptive optics,(no match),,
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,X-ray detectors,http://astrothesaurus.org/uat/1815
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,CMBR detectors,http://astrothesaurus.org/uat/259
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,Cosmic ray detectors,http://astrothesaurus.org/uat/325
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,Dark matter detectors,http://astrothesaurus.org/uat/355
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,Gamma-ray detectors,http://astrothesaurus.org/uat/630
"Instr, Meth, Tech",instrumentation: detectors,narrowMatch,Gravitational wave detectors,http://astrothesaurus.org/uat/676
"Instr, Meth, Tech",instrumentation: detectors,exactMatch,Astronomical detectors,http://astrothesaurus.org/uat/84
"Instr, Meth, Tech",instrumentation: high angular resolution,(no match),,
