preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
cD galaxies,http://astrothesaurus.org/uat/209,http://astrothesaurus.org/uat/CdGalaxies,
Celestial equator,http://astrothesaurus.org/uat/210,http://astrothesaurus.org/uat/CelestialEquator,
Celestial mechanics,http://astrothesaurus.org/uat/211,http://astrothesaurus.org/uat/CelestialMechanics,
Celestial objects catalogs,http://astrothesaurus.org/uat/212,http://astrothesaurus.org/uat/CelestialObjectsCatalogs,
Celestial poles,http://astrothesaurus.org/uat/213,http://astrothesaurus.org/uat/CelestialPoles,
Celestial sphere,http://astrothesaurus.org/uat/214,http://astrothesaurus.org/uat/CelestialSphere,
Centaurs,http://astrothesaurus.org/uat/215,http://astrothesaurus.org/uat/Centaurs,
Center of mass,http://astrothesaurus.org/uat/216,http://astrothesaurus.org/uat/CenterOfMass,
Cepheid distance,http://astrothesaurus.org/uat/217,http://astrothesaurus.org/uat/CepheidDistance,
Cepheid variable stars,http://astrothesaurus.org/uat/218,http://astrothesaurus.org/uat/Cepheids,
Ceres,http://astrothesaurus.org/uat/219,http://astrothesaurus.org/uat/Ceres,
CH stars,http://astrothesaurus.org/uat/220,http://astrothesaurus.org/uat/ChStars,
Chandrasekhar limit,http://astrothesaurus.org/uat/221,http://astrothesaurus.org/uat/ChandrasekharLimit,
Chaos,http://astrothesaurus.org/uat/222,http://astrothesaurus.org/uat/Chaos,
Charged black holes,http://astrothesaurus.org/uat/223,http://astrothesaurus.org/uat/ChargedBlackHoles,
Chemical abundances,http://astrothesaurus.org/uat/224,http://astrothesaurus.org/uat/ChemicalAbundances,
Chemical enrichment,http://astrothesaurus.org/uat/225,http://astrothesaurus.org/uat/ChemicalEnrichment,
Chemically peculiar stars,http://astrothesaurus.org/uat/226,http://astrothesaurus.org/uat/ChemicallyPeculiarStars,
Chlorofluorocarbons,http://astrothesaurus.org/uat/227,http://astrothesaurus.org/uat/Chlorofluorocarbons,
Chondrites,http://astrothesaurus.org/uat/228,http://astrothesaurus.org/uat/Chondrites,
Chondrules,http://astrothesaurus.org/uat/229,http://astrothesaurus.org/uat/Chondrules,
Chromospheres,http://astrothesaurus.org/uat/230,http://astrothesaurus.org/uat/Chromospheres,
Chthonian planets,http://astrothesaurus.org/uat/231,http://astrothesaurus.org/uat/ChthonianPlanets,
CII region,http://astrothesaurus.org/uat/232,http://astrothesaurus.org/uat/CiiRegion,
Circular orbit,http://astrothesaurus.org/uat/233,http://astrothesaurus.org/uat/CircularOrbit,
Circumstellar clouds,http://astrothesaurus.org/uat/234,http://astrothesaurus.org/uat/CircumstellarClouds,
Circumstellar disks,http://astrothesaurus.org/uat/235,http://astrothesaurus.org/uat/CircumstellarDisks,
Circumstellar dust,http://astrothesaurus.org/uat/236,http://astrothesaurus.org/uat/CircumstellarDust,
Circumstellar envelopes,http://astrothesaurus.org/uat/237,http://astrothesaurus.org/uat/CircumstellarEnvelope,
Circumstellar gas,http://astrothesaurus.org/uat/238,http://astrothesaurus.org/uat/CircumstellarGas,
Circumstellar grains,http://astrothesaurus.org/uat/239,http://astrothesaurus.org/uat/CircumstellarGrains,
Circumstellar masers,http://astrothesaurus.org/uat/240,http://astrothesaurus.org/uat/CircumstellarMasers,
Circumstellar matter,http://astrothesaurus.org/uat/241,http://astrothesaurus.org/uat/CircumstellarMatter,
Circumstellar shells,http://astrothesaurus.org/uat/242,http://astrothesaurus.org/uat/CircumstellarShell,http://astrothesaurus.org/uat/CircumstellarShells
Cirrus castellanus,http://astrothesaurus.org/uat/243,http://astrothesaurus.org/uat/CirrusCastellanus,
Cirrus fibratus,http://astrothesaurus.org/uat/244,http://astrothesaurus.org/uat/CirrusFibratus,
Cirrus floccus,http://astrothesaurus.org/uat/245,http://astrothesaurus.org/uat/CirrusFloccus,
Cirrus spissatus,http://astrothesaurus.org/uat/246,http://astrothesaurus.org/uat/CirrusSpissatus,
